Article.number,Title,Authors,DOI,Year.of.publication,Scale.of.study,Type.of.literature,Type.of.study,Research.type,Primary.focus.areas,Secondary.focus.areas,General.disease,General.vector,Ecosystem,Main.findings,Latitude,Longitude
168,Spatio-temporal associations between deforestation and malaria incidence in Lao PDR,"F. Rerolle, E. Dantzer, A. A. Lover, J. M. Marshall, B. Hongvanthong, H. J. W. Sturrock & A. Bennett",10.7554/eLife.56974,2021,Multi-region,Scientific literature,Degradation,Field study,Zoonoses/Infectious diseases,,Malaria,Mosquito,Terrestrial,We found evidence that deforestation around villages is associated with higher malaria incidence over the short-term but lower incidence over the long-term.,19.83655823,102.6222074
169,Land-use change and the livestock revolution increase the risk of zoonotic coronavirus transmission from rhinolophid bats,"M. C. Rulli, P. D'Odorico, N. Galli & D. T. S. Hayman",10.1038/s43016-021-00285-x,2021,Multi-region,Scientific literature,Degradation,Hypothesis/theoretical,Zoonoses/Infectious diseases,,Coronavirus,Bats,Terrestrial,The analysis does not prove any causal relationship between these land-use attributes and virus transmission to humans but highlights the existence of a remarkable co-dependence pattern among different risk factors in areas where horseshoe bats occur.,27.17090676,105.1722441
172,Effect of Land-Use Change on the Changes in Human Lyme Risk in the United States,"Y. Ma, G. He, R. Yang, Y. X. G. Wang, Z. Y. X. Huang & Y. Dong",10.3390/su14105802,2022,Multi-region,Scientific literature,Degradation,Hypothesis/theoretical,Zoonoses/Infectious diseases,,Lyme disease,Ticks,Terrestrial,Forest area and forest edge density generally negatively correlated with the change of human Lyme risk. ,39.29165968,-85.40108297
173,"The fewer, the better fare: Can the loss of vegetation in the Cerrado drive the increase in dengue fever cases infection?","A. A. P. da Silva, A. R. Franquelino, P. E. Teodoro, R. Montanari, G. A. Faria, C. H. R. da Silva, D. B. da Silva, W. A. Ribeiro Junior, F. Muchalak, K. M. C. Souza, M. H. P. da Silva & L. P. R. Teodoro",10.1371/journal.pone.0262473,2022,Multi-region,Scientific literature,Degradation,Hypothesis/theoretical,Zoonoses/Infectious diseases,,Dengue fever,NA,Terrestrial,This research found a significant relationship between loss of native vegetation and years with dengue cases in the Cerrado biome.,-16.5,-48.5
56,The Nexus between the Austrian Forestry Sector and the Sustainable Development Goals: A Review of the Interlinkages,R. Hazarika & R. Jandl,10.3390/f10030205,2019,National,Scientific literature,Degradation,Descriptive,Public healh,Local communities,NA,NA,Terrestrial,"Under SDG15, Austria can contribute to raising well-managed and healthy forests, not only for revenue-generating timber products but for overall human wellbeing, thus connecting SDG15 to SDG3 (good health and well being) and SDG8 (decent work and economic growth).",47.5,14.5
58,Ecosystems and human health: The local benefits of forest cover in Indonesia,T. Garg,10.1016/j.jeem.2019.102271,2019,National,Scientific literature,Degradation,Field study,Zoonoses/Infectious diseases,Public health,Malaria,Mosquito,Terrestrial,"Primary forest cover loss increases the incidence of malaria; a 1% decline in forest cover increases malarial incidence by 1.85 percentage points, or 10%.",-1.25,114
84,Neglected tropical diseases risk correlates with poverty and early ecosystem destruction,"A. R. Magalhaes, C. T. Codeço, JC. Svenning, L. E. Escobar, P. Van de Vuurst & T. Gonçalves-Souza",10.1186/s40249-023-01084-1,2023,National,Scientific literature,Degradation,Field study,Zoonoses/Infectious diseases,Local communities,Multiple,Multiple,Terrestrial,"Loss of natural vegetation cover between 2008 and 2018 was the most important environmental variable among environmental models, exhibiting a decreasing relationship with disease probability.",-14.31188255,-51.91588973
86,Vegetation cover and biodiversity reduce parasite infection in wild hosts across ecological levels and scales,"C. S. Andreazzi, L. A. Martinez-Vaquero, G. R. Winck, T. S. Cardoso, B. R. Teixeira, S. C. C. Xavier, R. Gentile, A. M. Jansen & P. S. D'Andrea",10.1111/ecog.06579,2023,National,Scientific literature,Restoration,Field study,Biodiversity,Zoonoses/Infectious diseases,Chagas disease,Small mammals,Terrestrial,"Areas with higher vegetation cover, NDVI and forest edges also had more diverse small mammal communities with a higher relative frequency of rodents, which decreased parasite prevalence.",-12.22868497,-51.93837136
98,Landscape structure influences continental distribution of hantavirus in deer mice,"J. P. Langlois, L. Fahrig, G. Merriam & H. Artsob",10.1023/A:1011148316537,2001,National,Scientific literature,Degradation,Field study,Zoonoses/Infectious diseases,,Hantavirus,Rodents,Terrestrial,Hantavirus incidence increased with increasing fragmentation of preferred habitat.,64.2,-96.5
102,Epidemiological considerations of rodent community composition in fragmented landscapes in Panama,"G. Suzan, A. Armien, J. N. Mills, E. Marce, G. Ceballos, M. Avila, J. Salazar-Bravo, L. Ruedas, B. Armien & T. L. Yates",10.1644/07-MAMM-A-015R1.1,2008,National,Scientific literature,Restoration,Field study,Biodiversity,Zoonoses/Infectious diseases,Hantavirus,Small mammals,Terrestrial,Our data support the hypothesis that higher species diversity of small mammals in neotropical forests is associated with lower abundances of some hantavirus reservoir species.,7.282184986,-80.70152314
132,Effects of conservation management of landscapes and vertebrate communities on Lyme borreliosis risk in the United Kingdom,"C. Millins, L. Gilbert, J. Medlock, K. Hansford, D. BA. Thompson & R. Biek",10.1098/rstb.2016.0123,2017,National,Scientific literature,Restoration,Review,Zoonoses/Infectious diseases,Biodiversity,Lyme disease,Ticks,Terrestrial,"Increasing woodland cover without long-term strategies for deer management could lead to an increased usage of woodlands by deer, increased tick populations and elevated Lyme borreliosis risk.",52.4,-1.6
133,Association of Deforestation With Severe Fever With Thrombocytopenia Syndrome,"HK. Nam, KD. Min, S. Jo & SI. Cho",10.1093/infdis/jiad196,2023,National,Scientific literature,Degradation,Descriptive,Zoonoses/Infectious diseases,,Thrombocytopenia syndrome,Ticks,Terrestrial,Deforestation was significantly associated with a higher risk of SFTS in the final model.,36.6,127.5
144,"Relative effects of urbanisation, deforestation, and agricultural development on mosquito communities","A. Perrin, F. Schaffner, P. Christe & O. Glaizot",10.1007/s10980-023-01634-w,2023,National,Scientific literature,Degradation,Field study,Zoonoses/Infectious diseases,Biodiversity,NA,Mosquito,Terrestrial,The effects of landscape anthropisation therefore act at a specific scale and landscape management decisions should be considered accordingly. ,46.12441424,8.97684352
148,Human footprint is associated with shifts in the assemblages of major vector-borne diseases,"E. B. Skinner, C. K. Glidden, A. J. MacDonald & E. A. Mordecai",10.1038/s41893-023-01080-1,2023,National,Scientific literature,Degradation,Hypothesis/theoretical,Zoonoses/Infectious diseases,Local communities,Mutliple,Multiple,Terrestrial,"We found that human footprint had an increasing relationship with disease occurrence for the urban diseases (dengue, chikungunya and Zika) and a decreasing relationship for the sylvatic or frontier diseases (malaria and cutaneous leishmaniasis). ",-12.10917958,-49.52896705
160,"Amazon deforestation drives malaria transmission, and malaria burden reduces forest clearing",A. J. MacDonald & E. A. Mordecai,10.1073/pnas.1905315116,2019,National,Scientific literature,Degradation,Hypothesis/theoretical,Zoonoses/Infectious diseases,,Malaria,Mosquito,Terrestrial,"Our work provides clear large-scale evidence that deforestation increases malaria, by using econometric techniques that approximate the gold standard of randomized controlled trials with observational data where controlled experiments are impossible. ",-14.00436776,-49.31524403
2,Environmental Change and Disease Dynamics: Effects of Intensive Forest Management on Puumala Hantavirus Infection in Boreal Bank Vole Populations,"L. Voutilainen, S. Savola, E. R. Kallio, J. Laakkonen, A. Vaheri, O. Vapalahti & H. Henttonen",10.1371/journal.pone.0039452,2012,Regional,Scientific literature,Restoration,Field study,Zoonoses/Infectious diseases,,Hantavirus,Rodents,Terrestrial,Hantavirus is negatively correlated with diversity.,65.02317829,27.99326125
4,Invasive honeysuckle eradication reduces tick-borne disease risk by altering host dynamics,"B. F. Allan, H. P. Dutra, L. S. Goessling, K. Barnett, J. M. Chase, R. J. Marquis, G. Pang, G. A. Storch, R. E. Thach & J. L. Orrock",10.1073/pnas.1008362107,2010,Regional,Scientific literature,Restoration,Field study,Zoonoses/Infectious diseases,,Human Ehrlichiosis,Deer,Terrestrial,Honeysuckle removal reduces nymph densities.,37.80541196,-90.03713378
8,"Diversity of Mosquitoes (Diptera: Culicidae) Attracted to Human Subjects in Rubber Plantations, Secondary Forests, and Villages in Luang Prabang Province, Northern Lao PDR","JA. A. Tangena, P. Thammavong, N. Malaithong, T. Inthavong, P. Ouanesamon, P. T. Brey & S. W. Lindsay",10.1093/jme/tjx071,2017,Regional,Scientific literature,Degradation,Descriptive,Biodiversity,,Mosquito-borne diseases,Mosquito,Terrestrial,All habitats showed high species diversity.,19.64928157,102.0857736
9,Moving to healthier landscapes: Forest restoration decreases the abundance of Hantavirus reservoir rodents in tropical forests,"P. R. Prist, A. Prado, L. R. Tambosi, F. Umetsu, A. de Arruda Bueno, R. Pardini & J. P. Metzger",10.1016/j.scitotenv.2020.141967,2021,Regional,Scientific literature,Restoration,Field study,Zoonoses/Infectious diseases,Biodiversity,Hantavirus,Rodents,Terrestrial,Forest restoration would decrease the abundance of the two main Hantavirus reservoir rodents in the Atlantic Forest.,-24.04,-48.335
14,How Much is the Cost to Reduce the Incidence Rate of Infectious Diseases Through Reforestation? (Case Study on Pulmonary TB under Global Warming Scenario),"S. Bakri, V. Ramos, B. Kurniawan, B. SariDewi, E. Kurniawaty & H. Kaskoyo",10.15244/pjoes/157212,2023,Regional,Scientific literature,Restoration,Descriptive,Public healh,Local communities,Pulmonary TB,NA,Terrestrial,"Every 1% increase in the average state forest land will succeed in reducing the incidence of pulmonary TB by 18.98 events per 10,000 population.",-5.689012743,104.5146604
15,The role of deforestation and fragmentation in yellow fever virus dispersal,"R. Wilk-da-Silva, P. R. Prist, A. R. Medeiros-Sousa, G. Z. Laporta, L. F. Mucci & M. T. Marrelli",10.21203/rs.3.rs-1956824/v1,2022,Regional,Scientific literature,Degradation,Field study,Zoonoses/Infectious diseases,,Yellow fever,Primates,Terrestrial,Municipalities with a higher number of connections in the network and with epizootics also presented higher forest edge density.,-23.54677951,-46.64676277
19,Interactions between landscape changes and host communities can regulate Echinococcus multilocularis transmission,"P. Giraudoux, P. S. Craig, P. Delattre, G. Bao, B. Bartholomot, S. Harraga, J. P. Qur, F. Raoul, Y. Wang, D. Shi & D. A. Vuitton",10.1017/S0031182003003512,2003,Regional,Scientific literature,Degradation,Field study,Zoonoses/Infectious diseases,,Alveolar echinococcosis,Multiple,Terrestrial,"Deforestation in South Gansu in the last 30 years has led to a significant extension of shrubland, scrubland and grasslands with resultant increase of the optimal habitats for M. limnophilus and C. longicaudatus.",34.55,104.57
22,Community ecology of small mammal populations in Panama following an outbreak of Hantavirus pulmonary syndrome,"L. A. Ruedas, J. Salazar-Bravo, D. S. Tinnin, B. Armin, L. Caceres, A. Garc­a, M. A. Di­az, F. Gracia, G. Suzan, C. J. Peters, T. L. Yates & J. N. Mills",NA,2004,Regional,Scientific literature,Degradation,Field study,Zoonoses/Infectious diseases,Biodiversity,Hantavirus,Rodents,Terrestrial,These ecological differences are due to species diversities: faunal communities associated with cases of Hantavirus pulmonary syndrome were extremely depauperate in their biodiversity and associated properties.,7.293237798,-80.69417
24,Forest fragmentation predicts local scale heterogeneity of Lyme disease risk,"J. S. Brownstein, D. K. Skelly, T. R. Holford & D. Fish",10.1007/s00442-005-0251-9,2005,Regional,Scientific literature,Degradation,Field study,Zoonoses/Infectious diseases,,Lyme disease,Multiple,Terrestrial," In our study, we find that suburban residential development is negatively linked to peridomestic risk of Lyme's Disease.",41.36820902,-72.35242891
29,"Linking Deforestation to Malaria in the Amazon: Characterization of the Breeding Habitat of the Principal Malaria Vector, Anopheles darlingi","A. Y. Vittor, W. Pan, R. H. Gilman, J. Tielsch, G. Glass, T. Shields, W. Sanchez-Lozano, V. V. Pinedo, E. Salas-Cobos, S. Flores & J. A. Patz",NA,2009,Regional,Scientific literature,Restoration,Field study,Zoonoses/Infectious diseases,,Malaria,Mosquito,Terrestrial,"The model indicates that more forest cover in a 1 km grid surrounding a site has lower odds of A. darlingi than sites with less forest cover, whereas sites with more secondary growth have higher odds compared to sites with less secondary growth. ",-3,-73
30,Ecological Factors Characterizing the Prevalence of Bacterial Tick-Borne Pathogens in Ixodes ricinus Ticks in Pastures and Woodlands,"L. Halos, S. Bord, V. Cotte, P. Gasqui, D. Abrial, J. Barnouin, HJ. Boulouis, M. Vayssier-Taussat & G. Vourc'h",10.1128/AEM.00610-10,2010,Regional,Scientific literature,Degradation,Field study,Zoonoses/Infectious diseases,,Tick-borne diseases,Ticks,Terrestrial,"increased infection prevalences for B. burgdorferi sensu lato and A. phagocytophilum on woodland sites were associated with increased forest fragmentation, in which greater fragmentation was considered a low forest patch surface area and a high patch perimeter.",46,2.8
31,"Determinants of tick-borne encephalitis in counties of southern Germany, 2001-2008","C. Kiffner, W. Zucchini, P. Schomaker, T. Vor, P. Hagedorn, M. Niedrig & F. Ruhe",10.1186/1476-072X-9-42,2010,Regional,Scientific literature,Degradation,Descriptive,Zoonoses/Infectious diseases,,Tick-borne encephalitis,Multiple,Terrestrial,"An index of forest fragmentation was negatively correlated with tick-borne encephalitis incidence, suggesting that infection risk is higher in fragmented landscapes.",48.8,10.1
33,Geographical and environmental factors driving the increase in the Lyme disease vector Ixodes scapularis,"C. E. Khatchikian, M. Prusinski, M. Stone, P. B. Backenson, IN. Wang, M. Z. Levy & D. Brisson",10.1890/ES12-00134.1,2012,Regional,Scientific literature,Degradation,Field study,Zoonoses/Infectious diseases,,Lyme disease,Ticks,Terrestrial,"The density of the ticks increased throughout the study's temporal and spatial ranges. Tick density increases were positively correlated with mild temperatures, low precipitation, low forest cover, and high urbanization. ",41.04011364,-74.04285351
38,The Role of Landscape Composition and Configuration on Pteropus giganteus Roosting Ecology and Nipah Virus Spillover Risk in Bangladesh,"M. B. Hahn, E. S. Gurley, J. H. Epstein, M. S. Islam, J. A. Patz, P. Daszak & S. P. Luby",10.4269/ajtmh.13-0256,2014,Regional,Scientific literature,Degradation,Field study,Zoonoses/Infectious diseases,,Nipah virus,Bats,Terrestrial,Our finding that landscape factors also correlate with Nipah virus spillover risk is novel and suggests that these factors could be used to understand the distribution of Nipah cases.,23.403281,89.98189
43,Effect of Deforestation and Land Use Changes on Mosquito Productivity and Development in Western Kenya Highlands: Implication for Malaria Risk,"E. J. Kweka, E. E. Kimaro & S. Munga",10.3389/fpubh.2016.00238,2016,Regional,Scientific literature,Degradation,Field study,Zoonoses/Infectious diseases,,Malaria,Mosquito,Terrestrial,Land cover changes and deforestation are the main drivers for the temperature rise in African highlands and escalates the rate of potential malaria vectors.,0.168,34.768
50,Climate change and sugarcane expansion increase Hantavirus infection risk,"P. R. Prist, M. Uriarte, K. Fernandes & J. P. Metzger",10.1371/journal.pntd.0005705,2017,Regional,Scientific literature,Degradation,Descriptive,Zoonoses/Infectious diseases,,Hantavirus,Rodents,Terrestrial,Overall our sugarcane expansion scenario predicts an increase of 20% in the number of people that can acquire Hantavirus.,-23.54922394,-46.62066159
51,The impact of human population pressure on flying fox niches and the potential consequences for Hendra virus spillover,"M. G. Walsh, A. Wiethoelter & M. A. Haseeb",10.1038/s41598-017-08065-z,2017,Regional,Scientific literature,Degradation,Field study,Zoonoses/Infectious diseases,Local communities,Hendravirus,Bats,Terrestrial,"The spatial model showed that the ecological niche of these two flying fox species, the human footprint, and proximity to woody savanna were each strongly associated with HendraVirus spillover.",-23.5,144.3
54,Using Landscape Analysis to Test Hypotheses about Drivers of Tick Abundance and Infection Prevalence with Borrelia burgdorferi,M. Ferrell & R. J. Brinkerhoff,10.3390/ijerph15040737,2018,Regional,Scientific literature,Degradation,Field study,Zoonoses/Infectious diseases,,Lyme disease,Ticks,Terrestrial,"Previously-identified factors associated with increased I. scapularis abundance, such as greater amounts of forest edge and high interspersion of forest with other habitats, were found to be negatively associated with I. scapularis abundance in this study.",37.53412526,-76.77173345
62,"Associations Between Ross River Virus Infection in Humans and Vector-Vertebrate Community Ecology in Brisbane, Australia","E. B. Skinner, A. Murphy, C. C. Jansen, M. A. Shivas, H. McCallum, M. B. Onn, S. A. Reid & A. J. Peel",10.1089/vbz.2019.2585,2020,Regional,Scientific literature,Degradation,Field study,Zoonoses/Infectious diseases,Biodiversity,Ross River Virus,Mosquito,Terrestrial,"The dominance of Cq. linealis in Bracken Ridge is also interesting as this species is associated with constructed wetlands in urban environments, which has relevance for authorities managing the increased abundance of this species.",-27.55605812,153.1023755
66,Exploring the influence of deforestation on dengue fever incidence in the Brazilian Amazonas state,"A. Kalbus, V. de Souza Sampaio, J. Boenecke & R. Reintjes",10.1371/journal.pone.0242685,2021,Regional,Scientific literature,Degradation,Field study,Zoonoses/Infectious diseases,,Dengue fever,Mosquito,Terrestrial,Assessing the influence of higher deforestation levels on increasing dengue fever incidence during the study period while controlling for other variables found no association.,-3.982912931,-65.85395833
69,Host sweet host: Rodent communities support similar ectoparasite diversity regardless of anthropogenic disturbance,"M. Gil-Fernandez, M. Vargas-Sandoval, C. A. Delf­in-Alfonso, E. Mendoza, O. God­inez-Gomez, N. K. Jimenez-Lara, M. C. MacSwiney, A. Carthey, A. Blanco-Garcia & J. J. Le Roux",10.1111/jen.13249,2024,Regional,Scientific literature,Degradation,Field study,Zoonoses/Infectious diseases,Biodiversity,Multiple,Rodents,Terrestrial,"We found no difference in rodent diversity, ectoparasite diversity, or ectoparasite prevalence between disturbed and undisturbed sites.",19.33768162,-102.3638195
70,Modelling the transmission and spread of yellow fever in forest landscapes with different spatial configurations,"A. R. Medeiros-Sousa, M. Lange, L. F. Mucci, M. T. Marrelli & V. Grimm",10.1016/j.ecolmodel.2024.110628,2024,Regional,Scientific literature,Degradation,Hypothesis/theoretical,Zoonoses/Infectious diseases,,Yellow fever,Mosquito,Terrestrial,"Virus percolation was faster in landscapes with high edge density and intermediate forest cover, supporting empirical observations that highly fragmented landscapes favour Yellow Fever Virus spread.",-25.36926377,-48.58864312
72,Land use predicts proportion of West Nile virus vector-competent mosquitoes,"A. M. Bauer, R. P. Guralnick, S. A. Whitehead, N. Barve, J. M. Allen & L. P. Campbell",10.1002/ecs2.4771,2024,Regional,Scientific literature,Degradation,Field study,Biodiversity,Zoonoses/Infectious diseases,West Nile virus,Mosquito,Terrestrial,"The highest proportions of West Nile Virus-competent species were predicted in less diverse urbanized areas, and species richness increased as urbanized areas decreased.",27.50116513,-82.39820676
82,A horizon scan exercise for aquatic invasive alien species in Iberian inland waters,"F. J. Oficialdegui, J. M. Zamora-Mar­in, S. Guareschi, P. M. Anastacio, P. Garci­a-Murillo, F. Ribeiro, R. Miranda, F. Cobo, B. Gallardo, E. Garc­a-Berthou, D. Boix, A. Arias, J. A. Cuesta, L. Medina, D. Almeida, F. Banha, S. Barca, I. Biurrun, M. P. Cabezas, S. Calero & F. J. Oliva-Paterna",10.1016/j.scitotenv.2023.161798,2023,Regional,Scientific literature,Degradation,Descriptive,Zoonoses/Infectious diseases,,NA,NA,Freshwater,"By combining scientific knowledge on taxa with expert opinion, we identified the most relevant aquatic IAS in the Iberian Peninsula, i.e., those with the greatest geographic extent (or probability of introduction), severe ecological, economic and human health impacts, greatest difficulty and acceptability of management. ",40.5,-4.5
83,The impact of wildlife and environmental factors on hantavirus infection in the host and its translation into human risk,"Y. X. G. Wang, L. Voutilainen, M. Aminikhah, H. Helle, O. Huitu, J. Laakkonen, A. Linden, J. Niemimaa, J. Sane, T. Sironen, O. Vapalahti, H. Henttonen & E. R. Kallio",10.1098/rspb.2022.2470,2023,Regional,Scientific literature,Degradation,Field study,Zoonoses/Infectious diseases,,Hantavirus,Rodents,Terrestrial,"Our results suggest that even though rodent diversity may not impact hantavirus prevalence in the host population, it can still reduce disease incidence in humans through its negative impact on the number of seropositive bank voles.",61.6345023,25.30954597
87,"Effect of land use change on the phlebotomine sand fly assemblages in an emergent focus of cutaneous leishmaniasis in Yucatan, Mexico","A. C. Montes de Oca-Aguilar, E. A. Rebollar-Tellez, E. I. Sosa-Bibiano, K. B. Lopez-Avila, J. R. Torres-Castro & E. N. Lor­a-Cervera",10.1016/j.actatropica.2022.106628,2022,Regional,Scientific literature,Restoration,Field study,Zoonoses/Infectious diseases,Biodiversity,Leishmaniasis,Sand fly,Terrestrial,"Even though the high abundance of sand flies in the conserved forest fragment suggests an amplification effect, our results also show that different vector species drive dominance in each site with different land use. ",20.97801778,-87.69621231
88,Rats and the city: Implications of urbanization on zoonotic disease risk in Southeast Asia,"K. R. Blasdell, S. Morand, S. G. W. Laurance, S. L. Doggett, A. Hahs, K. Trinh, D. Perera & C. Firth",10.1073/pnas.2112341119,2022,Regional,Scientific literature,Degradation,Field study,Zoonoses/Infectious diseases,,NA,Rodents,Terrestrial,We found that all Leptospira species were statistically more likely to be present at sites with higher anthropogenic activity across the urban - rural gradient.,1.475159249,110.15526
89,"Impact of Plantation Induced Forest Degradation on the Outbreak of Emerging Infectious Diseases-Wayanad District, Kerala, India","K. Saha, D. Ghatak & N. S. S. Muralee",10.3390/ijerph19127036,2022,Regional,Scientific literature,Degradation,Field study,Zoonoses/Infectious diseases,,Multiple,Multiple,Terrestrial,Our results on the association between LULCC and dengue outbreak are complementary with the existing literature showing the impact of deforestation on the outbreak of vector-borne dengue disease. ,11.71,76
90,"Ecological and environmental factors affecting transmission of sylvatic yellow fever in the 2017-2019 outbreak in the Atlantic Forest, Brazil","F. V. S. de Abreu, C. S. de Andreazzi, M. S. A. S. Neves, P. S. Meneguete, M. S. Ribeiro, C. M. G. Dias, M. de Albuquerque Motta, C. Barcellos, A. R. Romao, M. de Avelar Figueiredo Mafra Magalhaes & R. Lourenço-de-Oliveira",10.1186/s13071-021-05143-0,2022,Regional,Scientific literature,Degradation,Field study,Zoonoses/Infectious diseases,,Yellow fever,Mosquito,Terrestrial,Yellow Fever Virus transmission was more intense in two different types of environments: in continuous forest areas and in mosaics composed of forest fragments surrounded by pastures.,-23.15699003,-44.20848085
93,Exotic Pinus radiata Plantations do not Increase Andes Hantavirus Prevalence in Rodents,"A. V. Rubio, F. Fredes & J. A. Simonetti",10.1007/s10393-019-01443-1,2019,Regional,Scientific literature,Restoration,Field study,Zoonoses/Infectious diseases,,Hantavirus,Rodents,Terrestrial,Monterey pine plantations decrease the abundance and relative abundance of Oligoryzomys longicaudatus.,-35.95580539,-72.7475605
96,"Multi-scale analysis of habitat fragmentation on small-mammal abundance and tick-borne pathogen infection prevalence in Essex County, MA","S. D. Mason, S. C. R. Sherratt, S. M. Kruguer, M. Muthersbaugh, J. P. Harris, W. C. Gatlin, J. D. Topp & G. S. Keller",10.1371/journal.pone.0269768,2022,Regional,Scientific literature,Degradation,Field study,Biodiversity,Zoonoses/Infectious diseases,Tick-borne diseases,Rodents,Terrestrial,Our findings of greater prevalence of B. burgdorferi infection of white-footed mice in forest interiors compared to edge habitats counters previous studies. ,42.56293033,-70.83386382
101,"Land Cover Variation and West Nile Virus Prevalence: Patterns, Processes, and Implications for Disease Control","V. O. Ezenwa, L. E. Milheim, M. F. Coffey, M. S. Godsey, R. J. King & S. C. Guptill",10.1089/vbz.2006.0584,2007,Regional,Scientific literature,Restoration,Field study,Zoonoses/Infectious diseases,,West Nile virus,Mosquito,Freshwater,"Our results suggest that preserving large wetland areas, and by extension, intact wetland bird communities, may represent a valuable ecosystem-based approach for controlling West Nile Virus outbreaks.",30.29478856,-89.75545023
107,Emergence of Tick-Borne Granulocytic Anaplasmosis Associated with Habitat Type and Forest Change in Northern California,"J. E. Foley, N. C. Nieto & P. Foley",10.4269/ajtmh.2009.09-0372,2009,Regional,Scientific literature,Degradation,Field study,Zoonoses/Infectious diseases,,Granulocytic Anaplasmosis,Small mammals,Terrestrial,Enzootic and potentially emerging anaplasmosis were linked to high biodiversity and mature second-growth forest.,37.16675254,-122.2508549
112,The role of forest fragmentation in yellow fever virus dispersal,"R. Wilk-da-Silva, P. R. Prist, A. R. Medeiros-Sousa, G. Z. Laporta, L. F. Mucci & M. T. Marrelli",10.1016/j.actatropica.2023.106983,2023,Regional,Scientific literature,Degradation,Field study,Zoonoses/Infectious diseases,,Yellow fever,Mosquito,Terrestrial,"These findings corroborate our hypothesis that more fragmented landscapes with a higher degree of connectivity favor the spread of Yellow Fever Virus, while landscapes with fewer connections tend to act as dead zones for the circulation of the virus.",-23.71665905,-46.85227718
113,"Shaping zoonosis risk: landscape ecology vs. landscape attractiveness for people, the case of tick-borne encephalitis in Sweden","C. B. Zeimes, G. E. Olsson, M. Hjertqvist & S. O. Vanwambeke",10.1186/1756-3305-7-370,2014,Regional,Scientific literature,Degradation,Hypothesis/theoretical,Zoonoses/Infectious diseases,Local communities,Tick-borne encephalitis,NA,Terrestrial,"The most important interaction was between areas of holiday houses, a proxy for attractiveness, and places where there were more than 10 km of roads in forest, a proxy for accessibility. ",58.8729863,16.97079129
114,"Deforestation and Malaria in Mancio Lima County, Brazil","S. H. Olson, R. Gangnon, G. A. Silveira & J. A. Patz",10.3201/eid1607.091785,2010,Regional,Scientific literature,Degradation,Hypothesis/theoretical,Zoonoses/Infectious diseases,,Malaria,NA,Terrestrial,The multivariate analysis shows a 4.3% increase in the percentage of deforestation between 1997 and 2000 is associated with a malaria risk of 1.48. ,-29.51409115,-51.98841635
116,Influence of the landscape on dispersal of sylvatic triatomines to anthropic habitats in the Atlantic Forest,"G. R. Leite, C. B. dos Santos & A. Falqueto",10.1111/j.1365-2699.2010.02442.x,2011,Regional,Scientific literature,Degradation,Hypothesis/theoretical,Zoonoses/Infectious diseases,,NA,Triatomine bug,Terrestrial,The results suggest that less degraded areas maintain larger populations of triatomines and consequently present higher indices of dispersal and domiciliary invasion.,-20.84876216,-41.05142443
119,Effects of Landscape Fragmentation and Climate on Lyme Disease Incidence in the Northeastern United States,P. M. Tran & L. Waller,10.1007/s10393-013-0890-y,2013,Regional,Scientific literature,Degradation,Hypothesis/theoretical,Zoonoses/Infectious diseases,,Lyme disease,NA,Terrestrial,More fragmentation between forests and residential areas results in higher local Lyme disease incidences.,40.4409292,-76.79210264
125,Spatial and temporal variation of hantavirus bank vole infection in managed forest landscapes,"M. Magnusson, F. Ecke, H. Khalil, G. Olsson, M. Evander, B. Niklasson & B. Hornfeldt",10.1890/ES15-00039.1,2015,Regional,Scientific literature,Degradation,Field study,Zoonoses/Infectious diseases,,Hantavirus,Small mammals,Terrestrial,We show that the proportion of cut-over forest had a significant negative influence on the occurrence of PUUV antibody positive voles during spring suggesting that increased logging pressure can reduce PUUV distribution.,64,20
128,Leishmania infantum infecting the carnivore Nasua nasua from urban forest fragments in an endemic area of visceral leishmaniasis in Brazilian Midwest,"G. C. de Macedo, W. T. G. Barreto, C. E. de Oliveira, F. M. Santos, G. E. de Oliveira Porf­rio, S. C. das Chagas Xavier, F. M. Alves, A. R. da Silva, G. B. de Andrade, A. C. Rucco, W. O. de Assis, A. M. Jansen, A. L. R. Roque & H. M. Herrera",10.3389/fcimb.2022.1050339,2022,Regional,Scientific literature,Degradation,Field study,Zoonoses/Infectious diseases,,Leishmaniasis,Sand fly,Terrestrial,"An overall infection rate of 36.4%  was observed, significantly higher in the VBA (49.1%) than in the PEP (21.6%), probably because VBA presents: (i) a large number of resident dogs and chickens that would be attracting sandflies; (ii) a denser population of this wild mammal species; and (iii) physical barriers and a lack of functional connectivity in the surroundings, preventing these animals to disperse out.",-20.48647163,-54.70985622
131,Recreational hazard: Vegetation and host habitat use correlate with changes in tick-borne disease hazard at infrastructure within forest stands,"M. Van Gestel, D. Heylen, K. Verheyen, M. Fonville, H. Sprong & E. Matthysen",10.1016/j.scitotenv.2024.170749,2024,Regional,Scientific literature,Degradation,Field study,Zoonoses/Infectious diseases,,Tick-borne diseases,Ticks,Terrestrial,DIN was highest in forest interior and at trails enclosed by forest. Lower disease hazard was observed at benches and trails at forest edges.,51.29375505,4.815134291
