Article type,Article source,DOI,Title,Year,Language,Coordinates,Geographical location,Country,Scale,Theme,Infectious disease,General disease,Disease by transmission type,Pathogen group,Vector/reservoir/host,General Vectors,Method to assess disease risk,Ecosystem,Recommendations proposed,Research type,Knowledge areas,Type of Restoration,Impact of landscape degradation on disease,Impact of landscape restoration on disease,Impact on human-wildlife interactions,Evidence for Landscape restoration on disease outbreaks,Evidence for Landscape degradation on disease outbreaks,Evidence for effects on human-wildlife interactions,Are Socioeconomic factors taken into account,Limitations and challenges,Knowledge gaps/future research,Recommendations and proposed solutions,Risk of bias,Imprecision,Inconsistency ,Reporting bias,Quality of evidence (GRADE),Reviewer assigned,Reviewer Confidence,Reviewed,Conflict of interest
Original article,Web of science,10.1371/journal.pone.0293820.,"Spatial variation in risk for tick-borne diseases in residential areas of Dutchess County, New York",2023,English,yes,"New York, USA",USA,Local,Impact of landscape degradation on spillover risk and disease outbreaks in humans.,Tick-borne diseases,Tick-borne diseases,Vector-borne,multiple,Ixodes scapularis,Ticks,Environment sampling,Terrestrial,Yes,Field study,Knowledge gaps,Other,Indirect,No,Indirect,NA,"Here, we found no support for our prediction that forest cover within a neighborhood would be associated with the abundance of nymphal ticks within that neighborhood. Specifically, the abundance of host-seeking nymphs in forest, lawn, and garden within a neighborhood did not correlate with total forest cover within that neighborhood. Fragmentation statistics describing the spatial distribution of forest were not correlated with tick abundance within or between neighborhoods. These results suggest that vigorous pursuit of other ecological factors responsible for variation in tick abundance at the property level is warranted.","Further, our observation of a significantly negative correlation between tick abundance and reported encounters of ticks on outdoor pets is directly contrary to our prediction. Unmeasured human behaviors toward pets could be responsible for this latter, unexpected association. For example, if pet owners increase their efforts to protect their pets (e.g., with acaricidal treatments or altering access to the yard) when perceived risk is highest, the expected positive relationship between tick abundance and tick encounters could be undermined or even reversed.",NA,"We did not include the proportion of each habitat type (e.g. proportion of lawn) on a property in our glmm models because our sampling intensity (number of flagging intervals) was proportional to the size of each habitat on a property (e.g. more intervals in a larger lawn). As a result, our probability of detecting ticks (our response variable in these analyses) was potentially confounded by the proportion of a property comprising each habitat type. We urge caution in interpreting this result, however, because of the truncation of land cover data at neighborhood boundaries. Although a correlation between tick abundance and cases of tick-borne disease is expected, several factors can weaken this relationship [10]. First, the shape of the relationship is poorly understood. If the relationship between tick abundance and cases of tick-borne disease is not linear, and particularly if there are sharp thresholds, correlations could be difficult to detect [31]. Second, human behaviors might disrupt a direct relationship between tick abundance and cases of disease. For example, if high prior incidence of tick-borne diseases in an area increases avoidance and self-protective behaviors, the expected correlation could be altered. Third, dissociations between the locations where tick abundance is estimated and where epidemiological outcomes are measured could undermine the ability to detect meaningful correlations. ",These results suggest that vigorous pursuit of other ecological factors responsible for variation in tick abundance at the property level is warranted.,"""Our results reinforce the need to pursue human behavioral and ecological factors that affect variation in human encounters with ticks and cases of tick-borne disease in residential settings.""",Medium,Low,,Low,High,AF,High,TRUE,FALSE
Review,Web of science,10.1080/20477724.2023.2272097.,"Land-cover, land-use and human hantavirus infection risk: a systematic review",2023,English,no,Global,Global,Global,Impact of landscape degradation on spillover risk and disease outbreaks in humans.,Hantavirus,Hantavirus,Zoonoses,Virus,Rodents,Rodents,Historical data,Terrestrial,No,Review,Lessons learnt,Land Use Change,Direct,No,None,NA,"We observed that land cover and land-use categories could affect hantavirus infection incidence. Overall, agricultural land use was positively associated with increased human hantavirus infection risk, particularly in China and Brazil. In Europe, a positive association between forest cover and hantavirus infection incidence was observed. Studies that assessed the relationship between built-up areas and hantavirus infection risk were more variable, with studies reporting positive, negative or no associations.",NA,NA,,,,High,Medium,Medium,Medium,Low,SJ,Medium,TRUE,FALSE
Original article,Web of science,10.1111/1365-2664.14442.,Promoting landscapes with a low zoonotic disease risk through forest restoration: The need for comprehensive guidelines,2023,English,no,Global,Global,Global,Impact of landscape restoration on spillover risk and disease outbreaks in humans.,NA,NA,Not Applicable,Not Applicable,NA,NA,Historical data,Terrestrial,Yes,Review,Framework/protocol/guidelines,Reforestation,Indirect,Yes,None,"A time lag is but one of the possible outcomes of restoration on zoonotic disease risk. Here we present two more possible trajectories, which represent only hypotheses within several possibilities. In one possible trajectory (red line in Figure 4), spillover risk increases with restoration. This can happen, for example, in our restoration strategy 2 in low and intermediate forest cover landscapes. In these cases, studies understanding risk behaviours and wildlife exposure should be priority, so that risk reduction happens mostly by avoiding human–wildlife interactions. In another possible trajectory (green line in Figure 4), early stages of restoration may have no effect on the spillover risk, until the forest reach threshold level of structural complexity that allows the species interactions that eventually reduce vector abundances and thus, transmission risk. Performing a forest restoration following strategy 1, where restoration increases the size of forest fragments, the expected outcomes are: (1) landscapes with high amounts of forest cover could present no changes in the transmission risks because they already have a low pathogenicity. (2) Landscapes with an intermediate amount of forest cover could present reductions in transmission risks. (3) Landscapes with low amounts of forest cover could present increases in their pathogenicity. In restoration programs following strategy 2, when restoration increases landscape connectivity, the following outcomes are expected: (1) Landscapes with high amounts of forest cover could present no change in the transmission risk of zoonotic diseases, due to the same hypothesis presented in strategy 1. (2) Landscapes with an intermediate amount of forest cover could present negative effects, boosting contact rates with humans and domestic animals and increasing transmission risk. (3) Landscapes with a low amount of forest cover could present increases in transmission risks by extending forest edges densities and the number of suitable habitats for disease hosts and vectors. ","There are negative effects of habitat fragmentation and configuration on species richness and abundance (and consequently on richness and abundance of disease hosts and vector species), and these habitat configuration effects are distinct from those of habitat amount (Saura, 2021).",NA,NA,"We read 93 articles relating environmental variables, restoration and/or to zoonotic diseases, and found that only 14 met our criteria and thus entered the final analysis (Table S1). This gap is even more pronounced in tropical areas, with almost nothing published on the subject.","Understanding which matrix types facilitate or restrain the movement of different pathogen hosts, or how far they can move in nonhabitat environments is fundamental to understanding transmission dynamics and designing healthy landscapes for humans. Long-term monitoring studies are essential: in a first instance, forest restoration could increase understorey density, boosting the amount of suitable environments for vectors and reservoirs (Morales-Díaz et al., 2019). However, after this critical period and with the advancement of the successional stage, species richness increases, and the community becomes more complex, potentially controlling the abundance of vectors and hosts. Far from being a clear outcome, the goal of this model is to raise the discussion about how forest restoration can affect the transmission risk of these diseases. It is also guided by some of the many aspects that can affect these outcomes and should be incorporated into restoration studies.","Monitoring programs should always be implemented to allow for early responses and the implementation of mitigation and control actions.  For this reason, it is crucial to understand the sequence of species gains to unravel their consequences and predict how these network interactions affect the provision of ecosystem services.",Medium,,Medium,Low,Medium,AF,High,TRUE,FALSE
Original article,Web of science,10.3390/v15061356.,Detection of Zika Virus in Aedes aegypti and Aedes albopictus Mosquitoes Collected in Urban Forest Fragments in the Brazilian Amazon,2023,English,yes,"Manaus, Brazil",Brazil,Local,Disease dynamics at the human/wildlife/livestock/ pathogen interface at degraded landscapes,Zika virus,Zika virus,Vector-borne,Virus,Mosquito,Mosquito,Environment sampling,Terrestrial,Yes,Field study,Knowledge gaps,Other,Indirect,No,Indirect,NA,"In this study, we present the first-ever evidence of Ae. albopictus naturally infected with ZIKV in the Amazon region, which was based on collections made in forest fragments embedded within urban and peri-urban areas of the city.",NA,NA,"This study has some limitations. Engorged specimens were not analyzed, and individual mosquito parity was not evaluated. Estimating parity rates provides information about the physiological age of mosquito populations, which can be useful if comparing spatial and temporal infection rates within and between studies or identifying periods of high transmission risk.","We only encountered small numbers of Ae. aegypti since the sampled sites were situated in forested areas, where this species is seldom found, and could not compare infection rates with Ae. Albopictus, which was present in higher relative abundance as reported elsewhere [25,28]. However, we cannot exclude its possible role as a bridge vector since Ae. aegypti has been found in forest fragments in Manaus and elsewhere in Brazil.","Importantly, our findings may contribute to the development of risk models that help predict the emergence of pathogens with the potential to cause devastating outbreaks. The establishment of data-driven surveillance networks for the early detection of arbovirus transmission is critical [38] and may help mitigate or manage future disease outbreaks, but it will require extensive collaboration between health services, researchers, and environmental authorities. Therefore, it is important that the systematic monitoring and screening of arthropod vectors is carried out to allow for better assessments of the risk of zoonotic pathogen exchange and to improve planning and guidance for arbovirus and vector control measures.",Medium,Low,,Low,High,AF,High,TRUE,FALSE
Original article,Web of science,10.1016/j.pt.2023.02.005.,Biodiversity in the Lyme-light: ecological restoration and tick-borne diseases in Europe,2023,English,no,Europe,NA,Continental,Impact of landscape restoration on spillover risk and disease outbreaks in humans.,Tick-borne diseases,Tick-borne diseases,Vector-borne,multiple,Ixodes ricinus,Ticks,Historical data,Terrestrial,Yes,Review,Knowledge gaps,Reforestation,Direct,Yes,Direct,"Forests are the preferred habitat of I. ricinus, meaning that conversion of any land into this type of ecosystem will inevitably increase tick abundance. Implementing these measures on a large scale may impact tick density. I. ricinus is usually more abundant in deciduous and mixed woodland as compared to coniferous stands, likely because microclimatic conditions are more suitable and vertebrate hosts are more abundant [45.,49.,50.]. Whilst selective thinning does not seem to affect tick abundance, forests with rich shrub cover have higher tick densities [45.,50.].  o increase biodiversity and improve connectivity in agricultural systems, high-diversity landscape elements, such as hedgerows, are currently being proposed as restoration measures (Table 2). Integrating these elements into previously homogeneous pastures will almost certainly increase the abundance of ticks and/or amplifying hosts, and possibly TBD risk to livestock [61.].  In line with the intermediate-disturbance hypothesis, the process of ecosystem restoration could first increase TBD hazard, and later decrease, as the ecosystem reaches maturity [83.]. If this is the case, identifying management options that decrease hazard during critical stages in the restoration process would be beneficial.","Conversely, the ongoing intensification of agriculture in many parts of Europe likely reduces the abundance of infected ticks by removing such elements.","""Managing deer populations is a powerful tool in controlling the abundance of ticks. Most authors agree that ungulates lead to high abundances of I. ricinus at low and intermediate densities, but reduce tick abundance at high densities, most likely due to overgrazing of the habitat."" Individual exposure of humans depends (among others) on time spent outdoors, outdoor activity, personal risk factors, and the protective measures applied [94.,95.].",NA,"Research on exposure patterns is usually based on (local) incidence obtained from surveillance data. A major limitation of this approach is that tick bites may occur outside the patient's residential municipality []. Longitudinal surveys are suitable to identify risk factors for exposure to TBDs, but less so to measure spatial–temporal exposure patterns [",,,Medium,,Medium,Low,Medium,AF,High,TRUE,FALSE
Original article,Web of science,10.1016/j.scitotenv.2023.161798.,A horizon scan exercise for aquatic invasive alien species in Iberian inland waters,2023,English,no,"Iberia, Spin & Portugal","Spain, Portugal",Regional,Disease dynamics at the human/wildlife/livestock/ pathogen interface at degraded landscapes,NA,NA,Not Applicable,Not Applicable,NA,NA,Environment sampling,Freshwater,Yes,Descriptive,Framework/protocol/guidelines,Species Introduction,Not Applicable,No,Direct,NA,NA,NA,"The legislation of commercially exploitable IAS with socio-economic benefits for certain stakeholders increases the complexity of the legal scenario, as for example, the American Mink (N. vison) in Denmark (see Tollington et al., 2017), the red swamp crayfish (P. clarkii) in Spain and Portugal (see references above) or the Atlantic blue crab (C. sapidus) in the list of commercial fishing species of Spain (Box et al., 2020). The potential socio-economic benefit from exploiting some IAS such as the Pacific oyster through aquaculture (Des et al., 2022) and the Atlantic blue crab through fisheries (Mancinelli et al., 2017) can generate certain social conflicts when stakeholders (e.g., fishermen) oppose the management of these harmful IAS (Grechi et al., 2014; Gago et al., 2016; Oficialdegui et al., 2020a).","""Although this HS exercise only focused on Spanish and Portuguese inland waters, our results could serve as a baseline for the territories of Andorra and Gibraltar, as some headwater tributaries originating in Andorra flow into the river basins of north-eastern Spain, and Gibraltar may be an important gateway for estuarine species or IAS from other thematic groups. Due to the increase in introductions of alien species expected in the coming decades (Seebens et al., 2021), updating the HS lists periodically is of paramount importance.""","""Even with the Spanish list of allochthonous species (RD 570/2020; BOE, 2020), we stress that there is a large percentage of ‘door-knocker species’ for which the pathway of introduction is still unknown, hence further research is needed to address approaching threats."" ""Similarly, for many IAS, basic aspects of their biology and ecology in both native and invaded ranges as well as their taxonomy are poorly studied, which can often hinder proper targeting of management efforts (e.g., Didemnum vexillum (Kott, 2002), Fletcher and Forrest, 2011; Zhan et al., 2015).""","""Therefore, our HS exercise lays down the basis for future implementation of actions and facilitates decision-making for IAS management across Iberian inland waters."" ""Hence, the Concern list aims to help in the prioritisation of the management of IAS that are already present in the Iberian Peninsula, which is a key input for subsequent risk assessments aimed to support strategic and legislative decision-making (Roy et al., 2018).""",Medium,Medium,,Low,Medium,AF,High,TRUE,FALSE
Original article,Web of science,10.1098/rspb.2022.2470.,The impact of wildlife and environmental factors on hantavirus infection in the host and its translation into human risk,2023,English,no,Finland,Finland,Regional,Disease dynamics at the human/wildlife/livestock/ pathogen interface at degraded landscapes,Puumala hantavirus,Hantavirus,Zoonoses,Virus,Bank vole,Rodents,Environment sampling,Terrestrial,No,Field study,Knowledge gaps,Other,Not Applicable,No,Indirect,NA,"First, our results suggest that the proportion of juveniles in the bank vole population, through a negative impact on the number of infected bank voles, can reduce disease incidence in humans. Second, our results suggest that even though rodent diversity may not impact hantavirus prevalence in the host population, it can still reduce disease incidence in humans through its negative impact on the number of seropositive bank voles. Third, our results suggest some mammalian predator species (e.g. red foxes and weasels) can reduce PUUV risk for bank voles and humans.","As our rodent trappings were carried out only in the autumn, we were not able to examine whether PUUV seroprevalence would have shown delayed density dependence with bank voles as shown by some other studies [14,54].Thus, we expected that the abundance index of seropositive bank voles and PUUV seroprevalence in bank voles are positively associated with human NE incidence. Despite the reported positive associations between human infection incidence and Sin Nombre hantavirus seroprevalence in deer mice [74,75], we did not find a significant impact of PUUV infection prevalence on human NE incidence. Instead, our results showed that the abundance index of PUUV seropositive bank voles is an important predictor of human NE incidence.",NA,"The negative association may also result from other species causing encounter reductions among bank voles, as shown by other hantavirus–host systems [17,18]. Unfortunately, the current data do not enable examination of the contact rates between individuals and thus, the mechanism of dilution caused remains unsolved.","However, it remains largely unknown how the effects of predators are translated into seroprevalence in prey populations. Experimental studies are warranted to quantify predator impacts, especially trans-generational and behavioural effects, on infection dynamics. In addition, including other predators that prey on the hosts, such as avian predators, would be required to expand our understanding of the effects of predators on infection dynamics.",NA,Medium,Low,,Low,High,AF,High,TRUE,FALSE
Review,Web of science,10.1186/s40249-023-01084-1.,Neglected tropical diseases risk correlates with poverty and early ecosystem destruction,2023,English,no,Brazil,Brazil,National,Disease dynamics at the human/wildlife/livestock/ pathogen interface at degraded landscapes,Multiple ,Multiple ,Zoonoses,multiple,Multiple,Multiple,Historical data,Terrestrial,Yes,Field study,Model,Other,Direct,No,None,NA,"Loss of natural vegetation cover between 2008 and 2018 was the most important environmental variable (42% relative variable importance, P < 0.05) among environmental models, exhibiting a decreasing relationship with disease probability, showing that these diseases are especially prevalent in areas where natural ecosystem destruction is on its initial stages and lower when ecosystem destruction is on more advanced stages. In the case of malaria, the mosquito vector Anopheles cruzii is found in great abundance in tree canopies, but during deforestation the mosquito shifts to ground level increasing malaria prevalence in both simians and humans [59].",NA,"""Almost all diseases had GDP as a crucial socioeconomic variable, with a tendency to have a higher probability of disease at low-income levels, (i.e., high poverty). This pattern was demonstrated more strongly for Chagas disease and hantavirus."" Overall, these results suggests that poorer populations may have higher probability of disease transmission risk. In fact, poverty is usually associated with infectious disease risk and susceptibility [32, 33]. Low GDP has been linked to malaria, dengue, and a variety of other infectious diseases, where it may act as both a cause and a consequence of disease risk [31, 42].  In contrast, GDP was positively associated with dengue fever risk (Figs. 2 and 5), where municipalities with higher income also had higher risk of infection. This could be associated with the capacity of dengue transmission to be better sustained is urban areas with high population densities [3]. ","""The DATASUS disease-occurrence data has several limitations. For instance, the unequal distribution of healthcare coverage in Brazil, especially the diagnostic capacity, could potentially bias the distributions of disease occurrence."" ""Our analyses could have potential limitations. As aforementioned, potential diagnostic bias, particularly in terms of regional variations in the capacity to detect diseases, can produce low specificity and sensibility in the health surveillance system, especially in the Amazon region."" Furthermore, we used 2010 socioeconomic parameters, and it is possible that supplying outdated variables to the model will affect its accuracy and applicability or bias the models.","Strikingly, scientists in Brazil now have limited access to updated data on both the socioeconomic-demographic census and infectious disease occurrences at the national level implying that critical decisions are being conducted with incomplete information. To achieve satisfactory public health results and sustainable development, Brazil must recover disease surveillance and sociodemographic census on a country scale and implement policies aiming to reduce socioeconomic imbalances and destruction of natural habitats.","""Our results indicate that it may be necessary to halt deforestation, even in its early stages to prevent spillover events and new outbreaks. This concept is specifically highlighted in the One Health approach and it is coherent with the United Nations Sustainable Development Goals and the Global Health Security Agenda."" ""Additionally, our results highlight the importance of multiple sustainable development goals and provide an example of how they are interrelated: to promote, prevent, and surveil good health and well-being it is necessary to extinguish poverty in its different forms and to ensure the protection of terrestrial ecosystems."" ""Our findings also support the argument that disease-transmission risk is driven by the confluence of poverty and ecosystem destruction. Thus, human population health security cannot be achieved without addressing associated sectors such as ecosystem health.""",Medium,Low,,Low,High,AF,High,TRUE,FALSE
Review,Web of science,10.1126/sciadv.add0688.,Human disturbance increases coronavirus prevalence in bats,2023,English,no,Global,Global,Global,Impact of landscape degradation on spillover risk and disease outbreaks in humans.,Coronavirus,Coronavirus,Zoonoses,Virus,Bats,Bats,Modelling,Terrestrial,Yes,Review,Knowledge gaps,Other,Direct,No,Direct,NA,"""Our findings show that land modification increases infection prevalence in the global bat population and that this effect appears to be driven by activities that reduce available bat habitats, food sources, and roosting spaces."" The destruction and/or reduction of key resources may expose bats to physiological stress (3). The immunosuppressive effects of chronic stress are well known (6), and mounting evidence shows that human disturbance is a source of chronic stress in wild animals (7, 10, 35). In bats, stress, including ecological stress, has been linked to (re)activation of latent viruses and increased viral shedding (36–38). By revealing a significant association between anthropogenic stressors and pathogen prevalence in a major viral reservoir, our results suggest that ecological stress is a major factor linking human land modification and zoonotic disease emergence.","""Wildlife wet markets likely played a central role in the outbreaks of both SARS (2002–2004) and COVID-19 (40, 41). The trading of animals in general and wet markets in particular brings species that would otherwise hardly meet into close contact with one another and with humans."" ""Already 10 years ago, the global wildlife trade involved up to one billion direct and indirect contacts among wildlife, humans, and domestic animals, and increasing evidence suggests a strong link between wildlife trade and zoonotic disease risks.""",NA,"""Our predictions take into account local values for climate, mammalian species richness, latitude, and human impact, but not other geographic characteristics or the composition of the local bat fauna. Fitting a model that takes into account the composition of the local bat fauna or adaptation to local conditions was not reasonably possible with the available data, given that our simpler model already returns predicted prevalence estimates with relatively broad CIs.""","""To predict and mitigate spillover risk of potential zoonotic pathogens, our findings emphasize the necessity to monitor not only their presence but also their prevalence in wildlife populations. Our analyses reveal that hotspots of coronavirus prevalence coincide with regions under intense human pressure, suggesting that prevalence data may become increasingly important as human impact expands."". Our results also identify a handful of regions, notably including the Eastern United States and India, where increased surveillance efforts may be especially critical.""","To predict and mitigate spillover risk of potential zoonotic pathogens, our findings emphasize the necessity to monitor not only their presence but also their prevalence in wildlife populations. ""Our results also identify a handful of regions, notably including the Eastern United States and India, where increased surveillance efforts may be especially critical.""",Medium,,Medium,Low,Medium,AF,High,TRUE,FALSE
Original article,Web of science,10.1111/ecog.06579.,Vegetation cover and biodiversity reduce parasite infection in wild hosts across ecological levels and scales,2023,English,no,Brazil ,Brazil ,National,Disease dynamics at the human/wildlife/livestock/ pathogen interface at degraded landscapes,Chagas disease,Chagas disease,Vector-borne,protozoan,Small mammals,Small mammals,Environment sampling,Terrestrial,Yes,Field study,Model,Land Use Change,Direct,Yes,Direct,"""The amount of forest edges in the landscape decreased infection rates, both at the individual and at the community levels, which may be explained by the positive correlation between forest edges and vegetation cover, and the positive effect of these landscape variables on small mammal taxonomic diversity and relative frequency of rodents in the community."" """"In summary, our results show that there is a minimum level of vegetation cover and of species diversity in small mammal communities that is required to maintain the transmission of T. cruzi among wild hosts because vegetation cover slightly increases individual infection probability at intermediate levels.""""In the Amazon, areas with higher vegetation cover, NDVI and forest edges also had more diverse small mammal communities with a higher relative frequency of rodents, which decreased parasite prevalence. On the other side, in the Atlantic Forest the landscape attributes had no significant effect on the small mammal biodiversity and were weakly correlated with each other. Nevertheless, more diverse host communities also tended to have a higher relative frequency of rodents, which reduced T. cruzi prevalence.""","""Control measures that combine epidemiological surveillance with broader policies mitigating deforestation as well as promoting new approaches to biodiversity conservation and restoration founded on social inclusion and human welfare can be efficient to reduce the prevalence of T. cruzi in wild hosts."" ""The lowest infection risk at the individual level was found in areas with higher vegetation cover and that underwent less changes in vegetation cover. At the community level, vegetation cover increased the taxonomic diversity of host communities and changes in vegetation cover were positively related to a higher frequency of rodents in the communities.""","On the contrary, the Amazon is currently experiencing a major deforestation front (Silva Junior et al. 2021) and largest deforestation rates are found in forested areas that are relatively accessible through edges such as roads, villages or agricultural lands (Carrero et al. 2022). In addition, several rodents share their microhabitat with T. cruzi vectors, many are favored by disturbed environments close to human dwellings, eventually contributing to cycles of domestic or peridomestic transmission of T. cruzi (Orozco et al. 2014, Dario et al. 2022). ",NA,"""Thus, the effects of land use changes on infection risk is scale-dependent and this is one of the main reasons explaining contradictory results regarding the dilution effect."" ""We recommend scale-dependency to be always taken into account when evaluating the ecosystemic function of disease regulation.""","""We propose the use of species abundances distributions, here synthesized as the rodents/small mammals' ratio, as an important host biodiversity composition metric to describe T. cruzi infection profile in small mammal communities."" ""Thus, the effects of land use changes on infection risk is scale-dependent and this is one of the main reasons explaining contradictory results regarding the dilution effect.""","""In this sense, control measures that combine epidemiological surveillance with broader policies mitigating deforestation as well as promoting new approaches to biodiversity conservation and restoration founded on social inclusion and human welfare can be efficient to reduce the prevalence of T. cruzi in wild hosts."" ""We propose the use of species abundances distributions, here synthesized as the rodents/small mammals' ratio, as an important host biodiversity composition metric to describe T. cruzi infection profile in small mammal communities."" ""In summary, our results show that there is a minimum level of vegetation cover and of species diversity in small mammal communities that is required to maintain the transmission of T. cruzi among wild hosts because vegetation cover slightly increases individual infection probability at intermediate levels.""",Medium,Medium,,Low,High,AF,High,TRUE,FALSE
Original article,Web of science,10.1016/j.actatropica.2022.106628.,"Effect of land use change on the phlebotomine sand fly assemblages in an emergent focus of cutaneous leishmaniasis in Yucatan, Mexico",2022,English,yes,"Yucatan state, Mexico",Mexico,Regional,Impact of landscape degradation on spillover risk and disease outbreaks in humans.,Leishmaniasis,Leishmaniasis,Vector-borne,protozoan,Sand fly spp,Sand fly,Environment sampling,Terrestrial,Yes,Field study,Knowledge gaps,Land Use Change,Direct,Yes,None,"Even though the high abundance of sand flies in the conserved forest fragment suggests an amplification effect, our results also show that different vector species drive dominance in each site with different land use.","Our results are in agreement with several works carried out in the neotropical region, and also show that although the abundance of sand flies decreases in disturbed areas, opportunistic and vectors species tend to be dominant.  It is noteworthy that as vegetation cover is lost, the proportion of males decreases much more than that of females. This is important from a population and disease ecology point of view because the growth and fitness of a population/community depends on the number of females (Valderrama et al., 2011) and because females are the only ones that during feeding transmit Leishmania parasites. ",NA,NA,"Although the authors are aware of the limitations of this work (prevalence data), the increasing dominance of a competent vector as Lu. cruciata could increase the risk transmission in disturbed areas (Ostfeld and Keesing, 2000). Even so, our interpretation is probably even underestimated, because some studies have demonstrated the complex pathogen-vector-host interaction in leishmaniasis foci, where the high prevalence, biological and genetic diversity in both vector and Leishmania species seems to be driven by anthroponotic process (Sandoval-Ramírez et al., 2020; Brilhante et al., 2021).","More studies are required to clarify how scale could influence patterns of co-occurrence of sand flies, perhaps only in this way could we elucidate how changes in land use impact species interactions. ""Before proposing prevention and control strategies in a region such as Yucatan where deforestation and intensification of land use are occurring simultaneously, it will be necessary to conduct studies that incorporate new analytical approaches (metabarcoding) that allow characterizing and determining the degree of complexity of the pathogen-vector-reservoir interactions.""","We suggest that in this emerging focus and under the land use gradient, Lu. cruciata and Pa. cratifer could play a pivotal role in maintaining the transmission cycles the Leishmania because its dominance matches with areas with human infection, even more than the proven vector Bi. olmeca olmeca. However, the latter must be confirmed through incrimination studies. Finally, before proposing prevention and control strategies in a region such as Yucatan where deforestation and intensification of land use are occurring simultaneously, it will be necessary to conduct studies that incorporate new analytical approaches (metabarcoding) that allow characterizing and determining the degree of complexity of the pathogen-vector-reservoir interactions.",Medium,High,,Low,Medium,AF,High,TRUE,FALSE
Original article,Web of science,10.1073/pnas.2112341119.,Rats and the city: Implications of urbanization on zoonotic disease risk in Southeast Asia,2022,English,yes,"Borneo, Malaysia",Malaysia,Regional,Impact of landscape degradation on spillover risk and disease outbreaks in humans.,NA,NA,Zoonoses,multiple,Rodents,Rodents,Environment sampling,Terrestrial,Yes,Field study,Lessons learnt,Land Use Change,Direct,No,Direct,NA,"Predictably, we found that rodent species diversity decreased with increasing urbanization, leaving an urban species assemblage that was dominated by two species—R. rattus (an urban exploiter) and S. muelleri (an urban adapter). We found that R. rattus was significantly more likely to be present at urban sites than developing or rural sites and strongly preferred those with human infrastructure. Accordingly, we found that rural animals had significantly lower BMIs than those trapped in locations with higher anthropogenic influence, which may be the result of decreased resource provisioning or reduced lifespan in rural areas. This indicates that some features of the built environment may support pathogen persistence in urban areas, including open sewers, markets, and colocated commercial and residential activity (9). For example, we found that all Leptospira species (and L. borgpetersenii in particular) were statistically more likely to be present at sites with higher anthropogenic activity across the urban–rural gradient and were most frequently detected in R. rattus (9). Unlike R. rattus, S. muelleri was most prevalent in the developing location, which may suggest a preference for disturbed or fragmented landscapes that provide access to both natural habitat and the increased resources associated with human habitation.","As a result, the location, frequency, and intensity of contact between people and urban exploiters/adapters is likely to differ across the urban landscape, as are the implications for zoonotic disease risk. However, human infection occurs through the ingestion of food, water, or soil contaminated with cat feces and the oocysts they contain, which can remain infectious in the environment for up to 1 y in humid conditions (26).","Human infections with T. gondii are frequent in Malaysia, with a seroprevalence in healthy people that ranges from 14 to 30% and varies with ethnicity, sex, age, and socioeconomic status (28).","Although we did not identify any known tick-borne pathogens in this study, the use of select consensus PCR assays for pathogen detection may have restricted our ability to identify important zoonoses already circulating in this area (e.g., Borrelia spp.).","As a result, targeted human serosurveys will be necessary to determine if the pathogens identified in urban rodents in this study are associated with health risks to people.  As in many Southeast Asian cities, green spaces across Kuching are heavily utilized by residents for recreational and other activities and are often considered to be clean, healthy urban environments (45). However, the results of this study suggest that these activities may pose underappreciated public health risks akin to those associated with the transmission of Lyme disease in temperate urban green spaces (23, 41). ","We suggest that effective public health messaging could inform residents of tropical cities about the potential risks posed by ticks in urban green spaces and encourage the use of insect repellants and other preventative measures. These efforts should be supplemented with a targeted pest management plan to reduce rodent density in areas of high abundance and where frequent contact with people is likely. Further studies on the relationships between features of the built environment, the presence of pathogens, and the frequency of zoonotic transmission should be prioritized to further understand how the structure and use of cities influence zoonotic disease risk.",Medium,Medium,,Medium,Medium,AF,High,TRUE,FALSE
Original article,Web of science,10.3390/ijerph19127036.,"Impact of Plantation Induced Forest Degradation on the Outbreak of Emerging Infectious Diseases-Wayanad District, Kerala, India",2022,English,yes,India ,India ,Regional,Impact of landscape degradation on spillover risk and disease outbreaks in humans.,Multiple ,Multiple ,Generalist,multiple,Multiple,Multiple,Historical data,Terrestrial,No,Field study,Knowledge gaps,Land Use Change,Direct,No,Direct,NA,"Our results from Section 4.2.2 on the association between LULCC and dengue outbreak are complementary with the existing literature showing the impact of deforestation on the outbreak of vector-borne dengue disease over Mizoram (North-east state of India) [56]. Vector replication is favored in deforested regions by interrupting the ecological balance [3]. Vittor et al. (2006, 2009) [12,57] showed how deforestation affects the spread of the vector-borne disease in the Amazon by altering the vector breeding sites and by the changes in the microclimate suitability for parasite development.","Another reason for KFD outbreak is the encroachment of forest area. Encroachment inside the wildlife divisions is the constant concern of authorities (Kerala Forest Statistics, 2018). Tribes are most vulnerable to KFD infected ticks because of their forest dependent livelihood [46]. High abundance of Haemaphysalis spinigera tick species has been reported from the forest floor of Wayanad district in 2015 [46,48]. Most of the victims of this disease are from tribal areas, and all the reported deaths occurred among tribal people in 2015 [48].",NA,"""Capturing LULCC is difficult in India as 'Forest cover' defined by the Forest Survey of India fails to distinguish between 'Natural' forest versus human-made plantation.""","""We acknowledge that the impact of LULCC on the disease transmission via the changes in vector population dynamics should be studied through modelling framework."" ""We also acknowledge that climate change may have an impact on the outbreak of EIDs, and this needs a thorough investigation as well.""",NA,,,,,,AF,High,TRUE,FALSE
